Title,Summary,Website,Status,Deadline,Competition / Award,Internship / Job,Coursework / Enrichment,Volunteering,Remote,Residential,Science & Engineering,Medicine & Health,Sports & Athletics,Sustainability & Environment,Service & Advocacy,Business & Economics,Law & Politics,Arts & Media,Writing & Humanities,Architecture & Design
John Locke Essay Competition,"The John Locke Institute encourages young people to cultivate the characteristics that turn good students into great writers: independent thought, depth of knowledge, clear reasoning, critical analysis and persuasive style. The John Locke Institute Essay Competition invites students to submit original work across ten subject categories: Economics, History, International Relations, Law, Philosophy, Politics, Psychology, Public Policy, Science & Technology, and Theology. Evaluated by senior academics from institutions such as Oxford and Harvard, the contest emphasizes independent thought, critical analysis, and persuasive writing. Top winners in each category receive scholarships of $5,000, $2,000, or $1,000 toward Institute programs, while the Grand Prize winner receives a $10,000 Junior Fellowship scholarship. Junior and senior entries are judged separately, totaling six awards per category. Winners will be recognized at an October 2026 ceremony in London.",https://www.johnlockeinstitute.com/essay-competition,OPEN,"March 31, 2026 (registration) & May 31, 2026 (submission)",TRUE,FALSE,,FALSE,,,FALSE,,FALSE,,,TRUE,TRUE,,TRUE,
Technovation Girls App Competition,"The Technovation Girls Competition challenges girls under 18 to develop mobile or web apps that solve community or global problems. Eligible teams submit their projects to a global competition for a chance to win awards and scholarships through Quarterfinal, Semifinal, and Final rounds, culminating at the World Summit. Although the formal competition restricts participation by age and gender, the underlying educational curriculum is freely available to learners of all demographics.",https://technovationchallenge.org/competition/,OPEN,"March 18, 2026 (registration) & April 20, 2026 (submission)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Girls Who Code Pathways Course,"Pathways is a free remote/virtual learning program offering specialized curriculum tracks in game design, data science, AI, cybersecurity, and web development. Designed for girls and non-binary students in grades 9–12 (including rising 9th graders and graduating seniors), the program features a vibrant virtual community on Discord and access to advisor-led workshops, career panels, and corporate partner events. Over the course of 6–7 weeks, participants work at their own pace to complete technical projects aligned with emerging technologies.",https://girlswhocode.com/programs/pathways,OPEN,"April 10, 2026",,FALSE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,FALSE,FALSE,,,,
Walnut Hill Summer Theater Intensive,"The Walnut Hill Summer Theater is a three-week residential intensive where students develop theatrical skills through a balance of daily studio training and rehearsal. Participants take classes in acting, musical theater, and dance at the Delbridge Family Center for the Arts and are all cast in a single musical production performed over consecutive evenings. Located near Boston, the program includes dormitory living and staff-organized weekend excursions to iconic landmarks such as Faneuil Hall and the Museum of Fine Arts. Students conclude the program with strengthened performance abilities, increased confidence, and professional insight gained from immersive study and potential trips to professional theater productions.",https://www.walnuthillarts.org/summer/summer-theater-intensive,OPEN,"April 6, 2026",,,TRUE,FALSE,,TRUE,,,FALSE,,,,,TRUE,,
NYU Tandon Machine Learning Summer Program,"This program introduces students to the computer science and mathematical techniques driving AI and machine learning. Lessons cover video and image recognition, autonomous vehicles, and medical diagnostics, providing fundamental knowledge of technologies that are integrated into daily life.",https://k12stem.engineering.nyu.edu/programs/ml,OPEN,"May 15, 2026",,,TRUE,FALSE,,,TRUE,TRUE,FALSE,,,,,,,
NYU Coding for Game Design High School Summer Program,"During this 2-week in-person program, students learn game design principles and C# scripting within the Unity engine. Participants work collaboratively and independently to create their own 2D games, following development techniques used by professional designers at NYU.",https://steinhardt.nyu.edu/create/high-school-summer-program,OPEN,"May 31, 2026",,FALSE,TRUE,FALSE,,,TRUE,,FALSE,,,,,,,
Cornell Architecture & Design Summer Program for High School Students,"Cornell's College of Architecture, Art, and Planning (AAP) offers an intensive in-person summer program for high school students considering a bachelor's degree in architecture. This Introduction to Architecture and Design Precollege Program immerses participants in architectural ideas and methods through a studio-based environment. Working in small groups, students attend lectures and participate in specialized workshops focused on representational techniques and portfolio design. The program requires no prior specialized knowledge, only a serious interest in exploring architectural problems and design principles.",https://sce.cornell.edu/precollege/program/architecture-summer,OPEN,"May 5, 2026",,,TRUE,FALSE,,TRUE,,,FALSE,FALSE,,,,TRUE,,TRUE
Brown Pre-College Programs,Brown Pre-College offers 1- to 6-week residential and online courses designed to simulate the undergraduate experience without the pressure of formal grades. Students can choose from over 300 offerings—ranging from medicine and law to visual arts and creative writing—while engaging in a community that values independent thinking and student voices.,https://precollege.brown.edu/,OPEN,"May 8, 2026",,,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,
NYU Career Edge Summer Program,"NYU Career Edge offers one-week, non-credit intensives in professional fields like Criminal Justice, Entrepreneurship, and Finance. Designed for college and career readiness, the program allows students to live on campus and explore career paths while experiencing life at a world-renowned university.",https://www.sps.nyu.edu/high-school-academy/programs/career-edge.html,OPEN,"June 12, 2026",,,TRUE,FALSE,,FALSE,,,FALSE,,,TRUE,TRUE,,,
NYU Precollege Courses,"NYU Precollege allows rising juniors and seniors to earn college credits by taking undergraduate courses taught by world-class faculty. Students immerse themselves in the dynamic NYU community, exploring potential majors and academic interests while interacting with classmates from around the world.",https://www.nyu.edu/admissions/high-school-and-middle-school-programs/high-school-programs/nyu-precollege/explore-precollege.html,OPEN,"June 15, 2026",,,TRUE,FALSE,,,,,FALSE,,FALSE,,,,,
BU School of Medicine SummerLab,"Boston University School of Medicine’s SummerLab program features the theme ""Gene Editing in Human Disease,"" offering students aged 15 and older hands-on experience with Nobel Prize-winning CRISPR technology. Participants explore how gene editing can cure diseases while investigating the associated ethical and social implications through advanced molecular biology labs, including bacterial transformation, cell culture, and nanoencapsulation. As a commuter-only program for the Summer 2026 session, Boston University does not provide room and board, requiring students living outside the local area to secure their own accommodations.",https://www.bumc.bu.edu/citylab/summerlab-2026/,OPEN,"June 29, 2026",FALSE,,TRUE,FALSE,,,TRUE,TRUE,FALSE,,,,,FALSE,,
Columbia Science Honors Program (SHP),"The Science Honors Program is a highly selective academic year program (September to May) for students with a strong interest in STEM. Classes are held at Columbia University on Saturdays from 10:00 AM to 12:30 PM. Courses are taught by active researchers and cover advanced topics in physical, chemical, biological, and computing sciences.",https://outreach.engineering.columbia.edu/SHP,OPEN,Rolling admission (for Fall 2026),,,TRUE,FALSE,,,TRUE,FALSE,FALSE,FALSE,,,,,,
Columbia Climate School in the Green Mountains ,"Based on a campus in the Green Mountains of Vermont, this 2-week program mobilizes high school students to address climate change. Participants engage with experts from the Columbia Climate School to learn about cutting-edge innovations, build partnerships with like-minded peers, and develop actionable strategies for driving environmental impact.",https://www.climate.columbia.edu/pre-college-green-mountains,OPEN,Rolling admission (for Summer 2026),,,TRUE,FALSE,,TRUE,,,FALSE,TRUE,,,,,,
Cooper Union Introduction to Architecture Online Summer Course,"The Cooper Union’s Introduction to Architecture Online is an intensive, 5-week full-time program that introduces high school students to the discipline of architecture through an exploratory virtual environment. Rooted in the School of Architecture's unique studio ethic, the curriculum features rigorous foundation studies, history and practice lectures, and guided portfolio development to strengthen future applications to design schools. Students work closely with faculty and peers to develop technical skills and conceptual thinking. Admissions are conducted on a rolling basis, and early application is strongly encouraged.",https://cooper.edu/architecture/school-architecture-summer-programs,OPEN,Rolling admission (for Summer 2026),,FALSE,TRUE,FALSE,TRUE,,,,FALSE,FALSE,,,,,FALSE,TRUE
Interlochen Arts Camp,"Join teens from around the world for an unforgettable summer at Interlochen Arts Camp, with a variety of programs ranging from 1–3 weeks in length. High school students in grades 9–12 dive into music, theatre, dance, visual arts, film, and creative writing. Learn from expert faculty, connect with new friends, and spend your summer fully immersed in an overnight arts camp experience that inspires creativity and prepares you for college and beyond.",https://www.interlochen.org/art-summer-camp,OPEN,Rolling admission (for Summer 2026),,,TRUE,FALSE,,TRUE,,,FALSE,,,,,TRUE,TRUE,
Northwestern Debate Institute,"The Northwestern Debate Institute provides an intensive experience for high school policy debaters, designed to prepare participants for the upcoming season and beyond. Students learn the same fundamental principles and techniques that have led the Northwestern Debate Society to a record 15 National Debate Tournament championships. The program emphasizes personalized instruction through limited lab sizes and a low student-to-staff ratio, allowing debaters to engage with the nation's top competition. As the oldest and most successful debate society in NDT history, Northwestern offers an unparalleled opportunity for students to refine their skills under the guidance of elite coaches and scholars.",https://nhsi.northwestern.edu/debate-division/,OPEN,Rolling admission (for Summer 2026),FALSE,,TRUE,FALSE,TRUE,,,,FALSE,,,,TRUE,,TRUE,
American Psychological Association (APA) Remote Internships,"The APA Internal Internship Program is a virtual, year-round opportunity for U.S. high school students to explore the impact of psychology across fields such as research, policy, communications, and education. Participants apply psychological theory to practice in a professional setting, attending specialized workshops and connecting with industry experts. The program emphasizes the development of professional networks and the exploration of non-traditional psychology careers through discussions and group projects. These internships accept applications on a rolling basis for spring, summer, fall, and winter sessions.",https://www.apa.org/about/apa-jobs/internships,OPEN,Rolling admission (year-round),,TRUE,FALSE,FALSE,TRUE,,,TRUE,FALSE,,TRUE,,FALSE,,TRUE,
EnergyMag Remote Internships,"The EnergyMag Research Internship is a virtual program for high school students interested in exploring renewable energy companies, technologies, and markets. Open to sophomores, juniors, and seniors, the program helps students develop research, analytical, and professional writing skills. Under the guidance of mentors, participants produce publishable reports and gain experience in networking and communication. The program offers flexible scheduling to accommodate academic plans, including 2- to 8-week half-time summer internships and year-round quarter-time internships lasting 1 to 9 months. Successful participants receive a Letter of Accomplishment.",https://energymag.net/internships/,OPEN,Rolling admission (year-round),,TRUE,FALSE,FALSE,TRUE,,,,FALSE,TRUE,FALSE,,,,TRUE,
Fordham Summer Leaders Academy,"The Fordham Summer Leaders Academy is a residential pre-college program in New York City lasting one to two weeks. It combines innovative academic courses with engaging co-curricular activities, offering both credit and non-credit opportunities in STEM, business, the humanities, and performing arts.",https://www.fordham.edu/summer-session/pre-college-programs/summer-leaders-academy/,OPEN,Rolling admission (year-round),,,TRUE,FALSE,,TRUE,FALSE,,FALSE,,,FALSE,,FALSE,FALSE,
Fordham Summer Pre-College Program,"Rising high school seniors can earn 3 to 4 college credits by enrolling in traditional 5-week undergraduate classes alongside Fordham students. Running from June 30 to August 4, 2026, this commuter-only program offers courses both on campus and online.",https://www.fordham.edu/summer-session/pre-college-programs/college-courses-for-high-school-students/summer-session-pre-college-courses/,OPEN,Rolling admission (year-round),,,TRUE,FALSE,TRUE,TRUE,,,FALSE,,,,,,,
Friendship Circle NYC Teen Volunteers,"Teen volunteers are paired with children and young adults with special needs to provide companionship and support. Opportunities include home visits and ""Sunday Squad"" social outings throughout New York City, fostering inclusive communities through friendship.",https://www.friendshipcirclenyc.org/teen-volunteer-opportunities,OPEN,Rolling admission (year-round),,FALSE,,TRUE,,,,,FALSE,,TRUE,,,,,
Justice Resource Center High School Programs,"The Justice Resource Center offers a variety of civic and law-related programs to high school students. Whether students are building on their knowledge from elementary and middle school or are just discovering the world of law, JRC offers programs that help students become college and career ready. Students develop their potential by engaging in challenging law-related projects whereby they learn research, teamwork and critical thinking skills.",https://jrcnyc.org/site/high-school-programs/,OPEN,Rolling admission (year-round),,TRUE,,FALSE,,,,,FALSE,,TRUE,,TRUE,,TRUE,
NYU Stern EFL Young Ambassadors Program,"This free program at the NYU Stern School of Business introduces NYC high schoolers to the world of startups and business. Selected students attend real-world startup conferences, shadow NYU MBA mentors, and learn directly from founders and investors. Applications are reviewed on a rolling basis throughout the year.",https://endlessfrontierlabs.com/young-ambassadors/,OPEN,Rolling admission (year-round),,TRUE,,FALSE,,,,,FALSE,,,TRUE,,,,
NYC Ranger Conservation Corps Internship,"This 8-week environmental internship (offered in fall and spring) allows students to work with Urban Park Rangers on restoration projects in NYC’s flagship parks. Participants learn about urban ecology and may participate in field trips like canoeing and camping, earning community service hours for their college applications.",https://www.nycgovparks.org/programs/rangers/conservation-corps,OPEN,Rolling admission (year-round),,TRUE,,FALSE,,,,,FALSE,TRUE,TRUE,,,,,
NYC Health + Hospitals Volunteers,"NYC Health + Hospitals offers ongoing volunteer opportunities for students at medical facilities across all five boroughs. Roles range from supporting pediatric patients to assisting the elderly, providing students with meaningful ways to contribute to community health and patient care.",https://www.nychealthandhospitals.org/volunteering/,OPEN,Rolling admission (year-round),,FALSE,,TRUE,,,,TRUE,FALSE,,TRUE,,,,,
Sarah Lawrence College Writers Week Summer Writing & Theatre for Teens,"This week-long intensive program focuses on creative writing and performance arts. Students collaborate with professional poets and prose writers to develop their craft, explore new genres, and share their work in a supportive, creative environment.",https://www.sarahlawrence.edu/precollege/writers-week/,OPEN,Rolling admission (year-round),,FALSE,TRUE,FALSE,,TRUE,,,FALSE,FALSE,,,,TRUE,TRUE,
Syracuse Summer College,"For over 60 years, Syracuse University has offered high schoolers the chance to explore potential majors through 1- to 4-week courses. Students live in residence halls, dine on campus, and participate in social activities while taking college-level credit or non-credit courses.",https://precollege.syr.edu/programs-courses/summer-college-residential/,OPEN,Rolling admission (year-round),,,TRUE,FALSE,,TRUE,,,FALSE,,,,,,,
Transportation Alternatives Youth Activist Committee (TAYAC),"TAYAC is a community of teens advocating for car alternatives in NYC, focusing on public transit, biking, and walking. Open to all NYC youth, the committee holds monthly meetings and social events to help students lead local campaigns and improve the city’s transportation landscape.",https://transalt.org/youth,OPEN,Rolling admission (year-round),,,,TRUE,,,,,FALSE,,TRUE,,,,,
Manhattan School of Music Precollege Program,"Manhattan School of Music’s Precollege program provides pre-conservatory training for talented musicians aged 8 to 18 through professional instruction and a supportive, collaborative environment. Held on Saturdays throughout the school year, the program offers two distinct tracks: the Classical Program and the Jazz Arts Program. Students engage in weekly private lessons and specialized coursework in theory, ear training, composition, orchestra, chorus, and conducting. In addition to rigorous academic and technical training, participants benefit from numerous performing opportunities in various recital halls and build lasting connections with a community of like-minded peers.",https://www.msmnyc.edu/programs/precollege/,OPEN,"March 1, 2026 (priority)",,,TRUE,FALSE,,,,,FALSE,FALSE,FALSE,,,TRUE,,
Wildlife Conservation Society (WCS) Discovery Guide Youth Volunteers,"Ages 14–22 can volunteer as Discovery Guides at NYC’s five WCS zoos and aquarium. During spring or summer sessions, guides lead educational activities for visitors, support conservation campaigns, and assist with education programs while gaining experience in wildlife and environmental stewardship.",https://queenszoo.com/teens/teen-volunteer-program,CLOSED,Upcoming application cycle (for Summer 2026) will open in March,,,TRUE,FALSE,,,,,FALSE,TRUE,TRUE,,,,,
Princeton Prize in Race Relations,"The Princeton Prize in Race Relations recognizes high school students who have demonstrated exceptional leadership in advancing racial equity or promoting racial understanding within their schools and communities. Award recipients receive a $2,500 cash prize and an all-expenses-paid trip to Princeton University for a Symposium on Race, where they engage with fellow winners from across the country. Additionally, recipients are honored by Princeton alumni at recognition ceremonies held in their local regions.",https://pprize.princeton.edu/,CLOSED,Upcoming application cycle (for 2027) will open in October,TRUE,FALSE,FALSE,FALSE,,,,,FALSE,,TRUE,,FALSE,,,
Studio Museum Expanding the Walls High School Program,"Teen Programs at the Studio Museum provide a supportive environment for students to express themselves creatively while developing essential communication and critical thinking skills. Participants have the opportunity to engage in tours, hands-on workshops, and discussions with prominent visual artists. The Expanding the Walls program is a free, 8-month, in-person initiative for high school students focused on photography, history, and community. The program culminates in a public celebration of student work. Participants receive a $1,000 stipend and a Canon EOS Rebel DSLR camera to support their creative development throughout the session.",https://www.studiomuseum.org/expanding-the-walls,CLOSED,Upcoming application cycle (for 2027) will open in September,,FALSE,TRUE,FALSE,,,,,FALSE,FALSE,TRUE,,,TRUE,FALSE,
Brooklyn Museum Apprentice Program,"In this paid internship, NYC high school students immerse themselves in art history and museum education at a world-class institution. Guided by curators and educators, apprentices create lesson plans and gain experience teaching audiences of all ages. Participants earn $16.50 per hour (rising to $17.50 for second-year leaders), work up to 180 hours annually, and receive MetroCards for travel.",https://www.brooklynmuseum.org/careers/internships-fellowships/museum-apprentice-program,CLOSED,Upcoming application cycle (for Fall 2026) will open in July,,TRUE,FALSE,FALSE,,,,,FALSE,,,,,TRUE,TRUE,
Fordham Civic Leadership Day with The Town Hall,"This program at Fordham University’s Lincoln Center campus begins with a leadership training day (April 27, 2026) followed by four weeks of virtual mentorship. Students identify community issues and develop solutions, which they present to local council members and activists during a showcase event on May 27, 2026.",https://www.thetownhall.org/civics/civic-leadership-day,CLOSED,Upcoming application cycle (for Spring 2027) will open later this year,,,TRUE,FALSE,FALSE,,,,FALSE,,TRUE,,TRUE,,FALSE,
Stanford Artificial Intelligence in Medicine and Imaging (AIMI) Remote Internship,"The Stanford Center for Artificial Intelligence in Medicine and Imaging (AIMI) offers a two-week remote/virtual summer internship for high school students interested in the intersection of AI and healthcare. Participants engage in specialized lectures, collaborate on research projects, and receive mentorship from Stanford researchers and students. The program features ""Virtual Career Lunch and Learns"" with guest speakers and offers an optional ""Student Lead"" role for those seeking additional leadership experience. Upon completion, students earn a certificate, with select participants becoming eligible for extended research opportunities.",https://aimi.stanford.edu/education/summer-research-internship,CLOSED,Upcoming application cycle (for Summer 2027) will open in December,,TRUE,,FALSE,TRUE,,TRUE,TRUE,FALSE,,FALSE,,,,,
Mount Sinai Summer Junior Medical Program (JuMP),"The Junior Medical Program (JuMP) is a 6-week summer commitment (100 hours total) for students ages 15 to 17. Participants gain direct patient contact and observe the clinical and non-clinical daily operations of a hospital at Mount Sinai, learning from healthcare professionals to support patient satisfaction.",https://www.mountsinai.org/locations/morningside/about/volunteer,CLOSED,Upcoming application cycle (for Summer 2027) will open in January,,,,TRUE,,,,TRUE,FALSE,,TRUE,,,,,
WCS Project TRUE (Teens Researching Urban Ecology) Internship,"Project TRUE (Teens Researching Urban Ecology) is an urban ecology research and youth development program for high school sophomores and juniors living in the Bronx. Run by the Bronx Zoo Education team in partnership with Fordham University, the program provides hands-on field research experience.",https://bronxzoo.com/teens/project-true,CLOSED,Upcoming application cycle (for Summer 2027) will open in January,,TRUE,FALSE,FALSE,,,,,FALSE,TRUE,TRUE,,,,,
MIT MITES Summer,"MITES Summer is a six-week, on-campus program that immerses rising high school seniors from across the country in the MIT experience. Participants take five rigorous math, science, and humanities courses while developing the academic and personal skills necessary for success in STEM. In addition to coursework, the program features lab tours, social events, and dedicated college admissions counseling to provide firsthand insight into the rewards of pursuing STEM degrees and careers.",https://mites.mit.edu/discover-mites/mites-summer/,CLOSED,Upcoming application cycle (for Summer 2027) will open in November,,,TRUE,FALSE,,TRUE,TRUE,,FALSE,,,,,,TRUE,
Carnegie Hall Summer Youth Ensembles,"Each summer, Carnegie Hall’s national youth ensembles bring together the brightest young American instrumentalists for intensive training and performances on some of the world’s greatest stages. All three programs are free and led by an all-star faculty of professional musicians, giving students the opportunity to hone their talents while working with the world’s finest artists. As national ensembles, these programs include a broad range of musicians from across the country that reflect the exceptional talent and diversity of the United States.",https://www.carnegiehall.org/Education/Programs/National-Youth-Ensembles,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,,TRUE,FALSE,,,,,FALSE,,,,,TRUE,,
Carnegie Mellon School of Drama Pre-College Program,"The Carnegie Mellon University School of Drama Pre-College program provides a rigorous introduction to top-tier conservatory training, mirroring the intensity of the university's BFA curriculum through small studio classes taught by acclaimed faculty. is a six-week residential program for high school juniors and seniors that offers training and preparation for college auditions and interviews within an acclaimed drama conservatory. Students choose from three specialized tracks: the Acting Option, which focuses on repertoire building and acting for the camera; the Design/Production Option, which concentrates on portfolio development and technical skills like stage management and fabrication; and the Music Theater Option, which prioritizes song coaching and tiered dance training in ballet and jazz. All students receive foundational instruction in dramaturgy, ensuring a comprehensive understanding of theatrical practice as they prepare for future applications to Bachelor of Fine Arts programs.",https://drama.cmu.edu/academics/summer-pre-college-program/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,,TRUE,FALSE,,TRUE,,,FALSE,,,,,TRUE,,
Columbia Engineering the Next Generation (ENG),This 6-week program at Columbia Engineering provides students with hands-on research experience and multi-level mentorship. Participants work alongside faculty and researchers to develop academic and professional skills in one of two tracks: the Foundations of Research (FoR) or the Center for Smart Streetscapes (CS3).,https://outreach.engineering.columbia.edu/eng,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,FALSE,TRUE,FALSE,,,TRUE,,FALSE,,,,,,,
Columbia Summer High School Academic Program for Engineers (SHAPE),"SHAPE is a pre-college program for rising sophomores through recent graduates interested in STEM. Held at Columbia University, each 3-week session (July 6 – July 24 or July 27 – August 14, 2026) features college-level, project-based engineering courses taught by diverse faculty members.",https://outreach.engineering.columbia.edu/content/shape-summer-high-school-academic-program-engineers,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,,TRUE,FALSE,,,TRUE,,FALSE,,,,,,,
Kenyon Review Young Writers Workshops,"The Kenyon Review Young Writers Summer Residential Workshops offer a dynamic two-week program on the Kenyon College campus for talented high school students from around the world. Participants join a supportive literary community designed to stretch their creative talents and discover new strengths alongside peers who share a passion for the written word. These multi-genre workshops encourage students to challenge themselves through intensive writing exercises and collaborative sessions, all within the inspiring environment of a premier liberal arts institution.",https://kenyonreview.org/high-school-workshops/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,FALSE,,TRUE,FALSE,,TRUE,,,FALSE,FALSE,FALSE,,,TRUE,TRUE,
Manhattan District Attorney High School Internship Program (HSIP),"This rigorous 5-week internship offers students an insider’s perspective on the criminal justice system. Participants engage in workshops, professional development, and a mock trial program while working in an office setting. Interns are paid minimum wage and must demonstrate a strong interest in law and public service.",https://manhattanda.org/careers/internship-opportunities/high-school-internship/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,TRUE,,FALSE,,,,,FALSE,,TRUE,,TRUE,,,
NASA Goddard Institute for Space Studies (GISS) Internships,"Students interested in climate science and data modeling can apply for research-based internships at the Goddard Institute for Space Studies. Interns work directly with NASA scientists on projects related to Earth science, gaining technical skills and exposure to professional research environments.",https://www.giss.nasa.gov/edu/intern/,CLOSED,Upcoming application cycle (for Summer 2027) will open later this year,,TRUE,,FALSE,,,TRUE,,FALSE,TRUE,,,,,,
