Title,Summary,Website,Status,Deadline,Competition / Award,Internship / Job,Coursework / Enrichment,Volunteering,Remote,Residential,Science & Engineering,Medicine & Health,Sports & Athletics,Sustainability & Environment,Service & Advocacy,Business & Economics,Law & Politics,Arts & Media,Writing & Humanities,Architecture & Design
WashU Architecture Discovery Program,"The Architecture Discovery Program (ADP) at Washington University in St. Louis is a rigorous 2-week introduction to architecture and design for high school students, featuring intensive individual instruction from Sam Fox School faculty. At the heart of the program is the Design Studio, which fosters creativity and discovery while exploring how sustainability and the built environment shape modern architectural practice. Through these explorations, participants develop high-quality material and technical skills to strengthen their professional design portfolios.",https://samfoxschool.washu.edu/academics/pre-college-programs/architecture-discovery-program,OPEN,"March 31, 2026 deadline!",,,TRUE,FALSE,,TRUE,,,FALSE,TRUE,,,,,,TRUE
John Locke Essay Competition,"The John Locke Institute encourages young people to cultivate the characteristics that turn good students into great writers: independent thought, depth of knowledge, clear reasoning, critical analysis and persuasive style. The John Locke Institute Essay Competition invites students to submit original work across ten subject categories: Economics, History, International Relations, Law, Philosophy, Politics, Psychology, Public Policy, Science & Technology, and Theology. Evaluated by senior academics from institutions such as Oxford and Harvard, the contest emphasizes independent thought, critical analysis, and persuasive writing. Top winners in each category receive sizeable scholarships. Junior and senior entries are judged separately, totaling six awards per category. Winners will be recognized at an October 2026 ceremony in London.",https://www.johnlockeinstitute.com/essay-competition,OPEN,"March 31, 2026 (registration) & May 31, 2026 (submission)",TRUE,FALSE,,FALSE,,,FALSE,,FALSE,,,TRUE,TRUE,,TRUE,
Walnut Hill Summer Theater Intensive,"The Walnut Hill Summer Theater is a 3-week residential intensive where students develop theatrical skills through a balance of daily studio training and rehearsal. Participants take classes in acting, musical theater, and dance at the Delbridge Family Center for the Arts and are all cast in a single musical production performed over consecutive evenings. Located near Boston, the program includes dormitory living and staff-organized weekend excursions to iconic landmarks such as Faneuil Hall and the Museum of Fine Arts. Students conclude the program with strengthened performance abilities, increased confidence, and professional insight gained from immersive study and potential trips to professional theater productions.",https://www.walnuthillarts.org/summer/summer-theater-intensive,OPEN,"April 6, 2026 deadline!",,,TRUE,FALSE,,TRUE,,,FALSE,,,,,TRUE,,
Girls Who Code Pathways Online Course,"Pathways is a free online virtual learning program offering specialized curriculum tracks in game design, data science, AI, cybersecurity, and web development. Designed for girls and non-binary students in grades 9-12 (including rising 9th graders and graduating seniors), the program features a vibrant virtual community on Discord and access to advisor-led workshops, career panels, and corporate partner events. Over the course of 6-7 weeks, participants work at their own pace to complete technical projects aligned with emerging technologies.",https://girlswhocode.com/programs/pathways,OPEN,"April 10, 2026 deadline!",,FALSE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,FALSE,FALSE,,,,
Ladder Internship Matching Program,"Ladder Internships connects ambitious high school students with real startups for an 8-week summer internship. The program selects and trains interns before pairing them with host companies led by CEOs from institutions like Harvard Business School and Y-Combinator. This opportunity allows students to gain professional experience and mentorship from industry leaders who have held roles at top firms such as Google, Microsoft, and McKinsey.",https://airtable.com/appx1OFdMpDfxtEkR/shrNdEykWdhc4yeSv,OPEN,"April 13, 2026 deadline!",,TRUE,,FALSE,,,,,FALSE,,,TRUE,,,FALSE,
Writopia Advanced Writing Seminar at Pratt Institute,"Writopia Lab offers a 2-week summer pre-college writing program at the Pratt Institute in Brooklyn, New York, open to rising high school juniors, seniors, and college freshmen. Students reside on campus and spend mornings in specialized tracks: Writing the City, Novel Writing, or Playwriting. In the afternoons, participants join multi-genre creative writing workshops led by professional writers, with an option for rising seniors to focus on college essays. Evenings and weekends feature literary activities, such as book clubs and film critiques, alongside optional excursions to various New York City landmarks.",https://www.writopialab.org/programs/what-we-do/sleepaway-camps/aws-overnight,OPEN,"April 20, 2026 deadline!",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
NYU Tandon Machine Learning Summer Program,"This 2-week residential or commuter program introduces students to the computer science and mathematical techniques driving AI and machine learning. Lessons cover video and image recognition, autonomous vehicles, and medical diagnostics, providing fundamental knowledge of technologies that are integrated into daily life.",https://k12stem.engineering.nyu.edu/programs/ml,OPEN,"May 15, 2026 deadline!",,,TRUE,FALSE,,,TRUE,TRUE,FALSE,,,,,,,
NYU Coding for Game Design High School Summer Program,"During this 2-week in-person course, students learn game design principles and C# scripting within the Unity engine. Participants work collaboratively and independently to create their own 2D games, following development techniques used by professional designers at NYU.",https://steinhardt.nyu.edu/create/high-school-summer-program,OPEN,"May 31, 2026 deadline!",,FALSE,TRUE,FALSE,,,TRUE,,FALSE,,,,,,,
Cornell Architecture & Design Summer Program,"Cornell's College of Architecture, Art, and Planning (AAP) offers an intensive in-person summer program for high school students considering a bachelor's degree in architecture. This Introduction to Architecture and Design Precollege Program immerses participants in architectural ideas and methods through a studio-based environment. Working in small groups, students attend lectures and participate in specialized workshops focused on representational techniques and portfolio design. The program requires no prior specialized knowledge, only a serious interest in exploring architectural problems and design principles.",https://sce.cornell.edu/precollege/program/architecture-summer,OPEN,"May 5, 2026 deadline!",,,TRUE,FALSE,,TRUE,,,FALSE,FALSE,,,,TRUE,,TRUE
Brown Pre-College Programs,"Brown Pre-College offers 1- to 6-week residential programs designed to simulate the undergraduate experience without the pressure of formal grades. Students can choose from over 300 course offerings, ranging from medicine and law to visual arts and creative writing, while engaging in a community that values independent thinking and student voices.",https://precollege.brown.edu/,OPEN,"May 8, 2026 deadline!",,,TRUE,FALSE,TRUE,TRUE,,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,
NYU Career Edge Summer Program,"NYU Career Edge offers 1-week, non-credit intensives in professional fields like Criminal Justice, Entrepreneurship, and Finance. Designed for college and career readiness, the program allows students to explore career paths while experiencing life at a world-renowned university. ",https://www.sps.nyu.edu/high-school-academy/programs/career-edge.html,OPEN,"June 12, 2026 deadline!",,,TRUE,FALSE,,FALSE,,,FALSE,,,TRUE,TRUE,,,
NYU Precollege Courses,"NYU Precollege allows rising juniors and seniors to take undergraduate courses taught by world-class faculty. Students immerse themselves in the dynamic NYU community, exploring potential majors and academic interests while interacting with classmates from around the world.",https://www.nyu.edu/admissions/high-school-and-middle-school-programs/high-school-programs/nyu-precollege/explore-precollege.html,OPEN,"June 15, 2026 deadline!",,,TRUE,FALSE,,,,,FALSE,,FALSE,,,,,
Columbia Science Honors Program (SHP),"The Science Honors Program is a highly selective academic year program (September to May) for students with a strong interest in STEM. Classes are held at Columbia University on Saturdays from 10:00 AM to 12:30 PM. Courses are taught by active researchers and cover advanced topics in physical, chemical, biological, and computing sciences.",https://outreach.engineering.columbia.edu/SHP,OPEN,Rolling admission (for Fall 2026),,,TRUE,FALSE,,,TRUE,FALSE,FALSE,FALSE,,,,,,
Columbia Climate School in the Green Mountains ,"Based on a campus in the Green Mountains of Vermont, this 2-week program mobilizes high school students to address climate change. Participants engage with experts from the Columbia Climate School to learn about cutting-edge innovations, build partnerships with like-minded peers, and develop actionable strategies for driving environmental impact.",https://www.climate.columbia.edu/pre-college-green-mountains,OPEN,Rolling admission (for Summer 2026),,,TRUE,FALSE,,TRUE,,,FALSE,TRUE,,,,,,
Michigan Math & Science Scholars (MMSS) Summer Program,"The Michigan Math and Science Scholars (MMSS) program is designed to offer a pre-college experience exposing students to a breadth of curricula offered at the University of Michigan while introducing high school students to current developments and research in the sciences. The program is open to rising high school sophomores, juniors, and seniors. Three 2-week sessions are offered; students are given the opportunity to attend one, two or all three sessions. MMSS features small ~15-student classes taught by University of Michigan faculty. Students take only one class per session and spend the majority of the day working with their class, spending time in research and computer laboratories, as well as doing field work with their professor. As a Residential Student, attendees will experience parts of the “college life” while living in an on-campus dorm room independently (with Counselor supervision), attending activities, pre-planned evening events and even optional weekend trips.",https://sites.lsa.umich.edu/mmss/,OPEN,Rolling admission (for Summer 2026),FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Barnard NextGen Leadership Institute,"The NextGen Leadership Institute at Barnard College offers a 3-week residential or commuter summer program in New York City for women. Participants select one of three academic tracks (STEMinist, Writing and Literature, or Global Humanities) and attend small classes led by Barnard faculty and expert instructors. The curriculum integrates traditional academic work, such as text analysis and experiments, with curated city-based learning experiences like museum visits and guest lectures. Additionally, the academic schedule is supplemented by a weekly Leadership in Action series focused on developing strategic thinking and collaborative skills. ",https://precollege.barnard.edu/nextgen-leadership-institute,OPEN,Rolling admission (for Summer 2026),FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Barnard Athena Summer Innovation Institute,"The Athena Summer Innovation Institute at Barnard College is a 3-week residential or commuter program for women focused on entrepreneurship and social impact. Operating as an intensive boot camp, the program places students in collaborative teams to develop new ventures, such as start-up businesses, non-profit organizations, or advocacy campaigns. Prior business ideas are not required, but participants must be motivated to create social good and learn about the startup process. Throughout the program, students receive coaching and mentorship from program leaders and participate in specialized workshops covering topics like financing, negotiation, and branding.",https://precollege.barnard.edu/athena-summer-innovation-institute-1,OPEN,Rolling admission (for Summer 2026),FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Barnard Plate + Planet Lab,"The Plate + Planet Lab at Barnard College is a 3-week residential or commuter program for women focused on the U.S. food system. Students examine food production, distribution, consumption, and waste management through the lenses of agriculture, health, policy and justice, climate change, and soil health. The curriculum includes hands-on learning via weekly visits to farms across New York City and New York State, guided by industry experts and professionals. The program aims to help students envision ecologically mindful food systems that support both communities and the environment.",https://precollege.barnard.edu/plate-planet-lab,OPEN,Rolling admission (for Summer 2026),FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Wake Forest Sports Business Institute,"The Sports Business Institute is a major highlight out of the 25 offerings at Wake Forest University's week-long Summer Immersion Program. Whether cold calling to bring together fans to support their favorite team, implementing promotions to enhance the game day experience, or negotiating sponsorship deals with Fortune 500 companies, students will learn about and get a behind-the-scenes look at the inner workings of this high-profile multi-billion dollar industry’s unique application to business principles. This institute explores career opportunities in both the collegiate and professional world, as guest speakers will further provide students with opportunities to walk away with an array of industry knowledge and a broad range of networking contacts. ",https://immersion.summer.wfu.edu/on-campus-institutes/sports-business-institute/,OPEN,Rolling admission (for Summer 2026),FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Cooper Union Introduction to Architecture Online Summer Course,"The Cooper Union's Introduction to Architecture is an intensive, 5-week online program that introduces high school students to the discipline of architecture through an exploratory virtual environment. Rooted in the School of Architecture's unique studio ethic, the curriculum features rigorous foundation studies, history and practice lectures, and guided portfolio development to strengthen future applications to design schools. Students work closely with faculty and peers to develop technical skills and conceptual thinking. Admissions are conducted on a rolling basis, and early application is strongly encouraged.",https://cooper.edu/architecture/school-architecture-summer-programs,OPEN,Rolling admission (for Summer 2026),,FALSE,TRUE,FALSE,TRUE,,,,FALSE,FALSE,,,,,FALSE,TRUE
Interlochen Arts Camp,"Join teens from around the world for an unforgettable summer at Interlochen Arts Camp, with a variety of programs ranging from 1-3 weeks in length. High school students in grades 9-12 dive into music, theatre, dance, visual arts, film, and creative writing. Learn from expert faculty, connect with new friends, and spend your summer fully immersed in an overnight arts camp experience that inspires creativity and prepares you for college and beyond.",https://www.interlochen.org/art-summer-camp,OPEN,Rolling admission (for Summer 2026),,,TRUE,FALSE,,TRUE,,,FALSE,,,,,TRUE,TRUE,
Fordham Summer Leaders Academy,"The Fordham Summer Leaders Academy is a residential pre-college program in New York City lasting one to two weeks. It combines innovative academic courses with engaging co-curricular activities, offering both credit and non-credit opportunities in STEM, business, the humanities, and performing arts.",https://www.fordham.edu/summer-session/pre-college-programs/summer-leaders-academy/,OPEN,Rolling admission (for Summer 2026),,,TRUE,FALSE,,TRUE,FALSE,,FALSE,,,FALSE,,FALSE,FALSE,
Northwestern Debate Institute,"The Northwestern Debate Institute offers a 4- to 6-week online program for high school policy debaters, designed to prepare participants for the upcoming season and beyond. Students learn the same fundamental principles and techniques that have led the Northwestern Debate Society to a record 15 National Debate Tournament championships. The program emphasizes personalized instruction through limited lab sizes and a low student-to-staff ratio, allowing debaters to engage with the nation's top competition. As the oldest and most successful debate society in NDT history, Northwestern offers an unparalleled opportunity for students to refine their skills under the guidance of elite coaches and scholars.",https://nhsi.northwestern.edu/debate-division/,OPEN,Rolling admission (for Summer 2026),FALSE,,TRUE,FALSE,TRUE,,,,FALSE,,,,TRUE,,TRUE,
Dialogues Virtual Clubs,"The Dialogues program at Schoolhouse.world offers students a platform for 1-on-1 Zoom conversations designed to foster understanding rather than debate. Participants can engage in Dialogues Events for casual weekly chats on various topics or join Dialogues Clubs to build a consistent community with the same group of peers every other week. These sessions are free and come with discussion guides to help steer the conversation. A key benefit of the program is the Dialogues portfolio, which allows learners to demonstrate curiosity, empathy, and open-mindedness to partner colleges during the admissions process. Partner colleges include Columbia University, UChicago, and more. ",https://schoolhouse.world/dialogues,OPEN,Rolling admission (year-round),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
American Psychological Association (APA) Remote Internships,"The APA Internal Internship Program is an online, year-round opportunity for U.S. high school students to explore the impact of psychology across fields such as research, policy, communications, and education. Participants apply psychological theory to practice in a professional setting, attending specialized workshops and connecting with industry experts. The program emphasizes the development of professional networks and the exploration of non-traditional psychology careers through discussions and group projects. ",https://www.apa.org/about/apa-jobs/internships,OPEN,Rolling admission (year-round),,TRUE,FALSE,FALSE,TRUE,,,TRUE,FALSE,,TRUE,,FALSE,,TRUE,
EnergyMag Remote Internships,"The EnergyMag Research Internship is a virtual program for high school students interested in exploring renewable energy companies, technologies, and markets. Open to sophomores, juniors, and seniors, the program helps students develop research, analytical, and professional writing skills. Under the guidance of mentors, participants produce publishable reports and gain experience in networking and communication. The program offers flexible scheduling to accommodate academic plans, including 2- to 8-week half-time summer internships and year-round quarter-time internships lasting 1 to 9 months. Successful participants receive a Letter of Accomplishment.",https://energymag.net/internships/,OPEN,Rolling admission (year-round),,TRUE,FALSE,FALSE,TRUE,,,,FALSE,TRUE,FALSE,,,,TRUE,
Safe Haven Basketball Champions Special Needs Volunteers,"The Safe Haven Basketball Champions Special Needs program is a coed initiative for children ages 4 to 16 with diverse developmental, social, and emotional abilities. The program meets on Sundays during the spring at PS 84 on West 92nd Street. Experienced basketball players are eligible to volunteer as Best Buddies, partnering with participants to help develop their athletic, social, and communication skills.",https://www.safehavenhoops.net/special-needs-champions-program/,OPEN,Rolling admission (year-round),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
West Side Soccer League EPIC Volunteers,"The EPIC Division is an adaptive soccer program for children of all ages with physical and developmental challenges who require assistance to play. The league is coached by parents and volunteers, including teen buddies: experienced soccer players who serve as peer coaches and helpers. Those interested in volunteering as an EPIC Buddy can contact program coordinators Serhat Krause or Joshua Noble via the email addresses provided on the organization's website. ",https://wssl.org/programs/epic/,OPEN,Rolling admission (Fall only),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Little League Challenger Division Volunteers,"The Little League Challenger Division, established in 1989, is an adaptive baseball program for individuals with physical and intellectual challenges. The organization offers various community volunteer opportunities, such as serving as a player buddy, assisting with new player recruitment, and providing administrative or fundraising support. Those interested in volunteering can contact Director Sam Ranck using the email address provided on the organization's website.",https://www.littleleague.org/play-little-league/challenger/get-involved/,OPEN,Rolling admission (year-round),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Friendship Circle NYC Teen Volunteers,"Teen volunteers are paired with children and young adults with special needs to provide companionship and support. Opportunities include home visits and social outings throughout New York City, fostering inclusive communities through friendship.",https://www.friendshipcirclenyc.org/teen-volunteer-opportunities,OPEN,Rolling admission (year-round),,FALSE,,TRUE,,,,,FALSE,,TRUE,,,,,
Justice Resource Center High School Programs,"The Justice Resource Center offers a variety of civic and law-related programs to high school students. Whether students are building on their knowledge from elementary and middle school or are just discovering the world of law, JRC offers programs that help students become college and career ready. Students develop their potential by engaging in challenging law-related projects whereby they learn research, teamwork and critical thinking skills.",https://jrcnyc.org/site/high-school-programs/,OPEN,Rolling admission (year-round),,TRUE,,FALSE,,,,,FALSE,,TRUE,,TRUE,,TRUE,
NYU Stern EFL Young Ambassadors Entrepreneurship Program,"This free program at the NYU Stern School of Business introduces NYC high schoolers to the world of startups and business. Selected students attend real-world startup conferences, shadow NYU MBA mentors, and learn directly from founders and investors. Applications are reviewed on a rolling basis throughout the year.",https://endlessfrontierlabs.com/young-ambassadors/,OPEN,Rolling admission (year-round),,TRUE,,FALSE,,,,,FALSE,,,TRUE,,,,
NYC Ranger Conservation Corps Internship,"This 8-week environmental internship (offered in fall and spring) allows students to work with Urban Park Rangers on restoration projects in NYC’s flagship parks. Participants learn about urban ecology and may participate in field trips like canoeing and camping, earning community service hours for their college applications.",https://www.nycgovparks.org/programs/rangers/conservation-corps,OPEN,Rolling admission (year-round),,TRUE,,FALSE,,,,,FALSE,TRUE,TRUE,,,,,
NYC Health + Hospitals Volunteers,"NYC Health + Hospitals offers ongoing volunteer opportunities for students at medical facilities across all five boroughs. Roles range from supporting pediatric patients to assisting the elderly, providing students with meaningful ways to contribute to community health and patient care.",https://www.nychealthandhospitals.org/volunteering/,OPEN,Rolling admission (year-round),,FALSE,,TRUE,,,,TRUE,FALSE,,TRUE,,,,,
Sarah Lawrence Writers Week Summer Writing & Theatre,"This week-long intensive program at Sarah Lawrence College focuses on creative writing and performance arts. Students collaborate with professional poets and prose writers to develop their craft, explore new genres, and share their work in a supportive, creative environment.",https://www.sarahlawrence.edu/precollege/writers-week/,OPEN,Rolling admission (year-round),,FALSE,TRUE,FALSE,,TRUE,,,FALSE,FALSE,,,,TRUE,TRUE,
Syracuse Summer College,"For over 60 years, Syracuse University has offered high schoolers the chance to explore potential majors through 1- to 4-week courses. Students live in residence halls, dine on campus, and participate in social activities while taking college-level credit or non-credit courses. The Sports Management course is a major highlight, where students examine the managerial process, including the functions of management, and the roles, skills, and attributes required of sports managers. ",https://precollege.syr.edu/programs-courses/summer-college-residential/,OPEN,Rolling admission (year-round),,,TRUE,FALSE,,TRUE,,,FALSE,,,,,,,
Transportation Alternatives Youth Activist Committee (TAYAC),"TAYAC is a community of teens advocating for car alternatives in NYC, focusing on public transit, biking, and walking. Open to all NYC youth, the committee holds monthly meetings and social events to help students lead local campaigns and improve the city’s transportation landscape.",https://transalt.org/youth,OPEN,Rolling admission (year-round),,,,TRUE,,,,,FALSE,,TRUE,,,,,
Manhattan School of Music Precollege Program,"Manhattan School of Music’s Precollege program provides pre-conservatory training for talented musicians aged 8 to 18 through professional instruction and a supportive, collaborative environment. Held on Saturdays throughout the school year, the program offers two distinct tracks: the Classical Program and the Jazz Arts Program. Students engage in weekly private lessons and specialized coursework in theory, ear training, composition, orchestra, chorus, and conducting. In addition to rigorous academic and technical training, participants benefit from numerous performing opportunities in various recital halls and build lasting connections with a community of like-minded peers.",https://www.msmnyc.edu/programs/precollege/,OPEN,"March 1, 2026 (priority)",,,TRUE,FALSE,,,,,FALSE,FALSE,FALSE,,,TRUE,,
Wildlife Conservation Society (WCS) Discovery Guide Youth Volunteers,"Young adults (ages 14-22) can volunteer as Discovery Guides at NYC’s five WCS zoos and aquarium. During spring or summer sessions, guides lead educational activities for visitors, support conservation campaigns, and assist with education programs while gaining experience in wildlife and environmental stewardship.",https://queenszoo.com/teens/teen-volunteer-program,CLOSED,Upcoming application cycle (for Summer 2026) will open in March,,,TRUE,FALSE,,,,,FALSE,TRUE,TRUE,,,,,
Princeton Prize in Race Relations,"The Princeton Prize in Race Relations recognizes high school students who have demonstrated exceptional leadership in advancing racial equity or promoting racial understanding within their schools and communities. Award recipients receive a $2,500 cash prize and an all-expenses-paid trip to Princeton University for a Symposium on Race, where they engage with fellow winners from across the country. Additionally, recipients are honored by Princeton alumni at recognition ceremonies held in their local regions.",https://pprize.princeton.edu/,CLOSED,Upcoming application cycle (for 2027) will open in October,TRUE,FALSE,FALSE,FALSE,,,,,FALSE,,TRUE,,FALSE,,,
Studio Museum Expanding the Walls Photography Program,"Teen Programs at the Studio Museum provide a supportive environment for students to express themselves creatively while developing essential communication and critical thinking skills. Participants have the opportunity to engage in tours, hands-on workshops, and discussions with prominent visual artists. The Expanding the Walls program is a free, 8-month, in-person initiative for high school students focused on photography, history, and community. The program culminates in a public celebration of student work. Participants receive a $1,000 stipend and a Canon EOS Rebel DSLR camera to support their creative development throughout the session.",https://www.studiomuseum.org/expanding-the-walls,CLOSED,Upcoming application cycle (for 2027) will open in September,,FALSE,TRUE,FALSE,,,,,FALSE,FALSE,TRUE,,,TRUE,FALSE,
