Title,Organization,Summary,Website,Deadline,Type,Remote,Academic Enrichment,Arts & Culture,Science & Engineering,Healthcare & Medicine,Environment & Sustainability,Law & Advocacy,Business & Entrepreneurship,Leadership & Community Service
NYU Steinhardt's High School Summer Art Intensive,New York University,"In this 4-week summer program, high school artists develop their practice in digital art, painting, and sculpture. Students work closely with NYU faculty in a close-knit community to create ambitious works and gain insight into New York’s contemporary art world.",https://steinhardt.nyu.edu/programs/art-education/high-school-programs/high-school-summer-art-intensive-studio-practice,"March 1, 2026 DEADLINE!",Program (COST),FALSE,,TRUE,,,,,,
Summer High School Academic Program for Engineers (SHAPE),Columbia University,"SHAPE is a pre-college program for rising sophomores through recent graduates interested in STEM. Held at Columbia University, each 3-week session (July 6 – July 24 or July 27 – August 14, 2026) features college-level, project-based engineering courses taught by diverse faculty members.",https://outreach.engineering.columbia.edu/content/shape-summer-high-school-academic-program-engineers,"March 2, 2026 DEADLINE!",Program (COST),FALSE,TRUE,,TRUE,,,,,
NYU GSTEM,New York University,"GSTEM is a 6-week summer research program for high school students interested in STEM careers. Participants are paired with researchers for individual projects in their chosen field, earn lab experience, and take weekly field trips to meet women leaders across various STEM disciplines.",https://wp.nyu.edu/gstem/about-us/,"March 2, 2026 DEADLINE!",Program (COST),FALSE,TRUE,,TRUE,TRUE,,,,
South Street Seaport Museum Internships,The Seaport Museum,"This 12-week summer program ($18/hr) provides students with insight into museum operations and maritime history. Interns are typically placed in Collections, Archives, or Exhibitions, where they work on internal projects, visit other NYC institutions, and network with museum professionals.",https://southstreetseaportmuseum.org/jobs-and-internships/,"March 27, 2026 DEADLINE!",Job/Internship (PAID),FALSE,,TRUE,,,,,,
Student Historian Internship Program,The New York Historical,"High school students in the NYC metro area (grades 10-12) use the resources of the New-York Historical Society to conduct in-depth research on American history. Interns create digital projects, meet with professional staff, and develop historical thinking and media skills centered on the theme 'Our Composite Nation.'",https://www.nyhistory.org/education/student-historian-internship-program,"March 29, 2026 DEADLINE!",Job/Internship (PAID),FALSE,,TRUE,,,,,,
Startup Internship Program,Ladder Internships,"Ladder Internships connects ambitious high school students with real startups for an 8-week summer internship. The program selects and trains interns before pairing them with host companies led by CEOs from institutions like Harvard Business School and Y-Combinator. This opportunity allows students to gain professional experience and mentorship from industry leaders who have held roles at top firms such as Google, Microsoft, and McKinsey.",https://www.ladderinternships.com/our-programs,"March 8, 2026 DEADLINE!",Job/Internship (UNPAID),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bank of America Student Leaders Program,Bank of America,This 6-week paid summer internship ($17/hr) connects high school seniors to local non-profit organizations where they gain professional experience. The program is open to graduating seniors who are at least 18 years old at the time of application and includes a 3-day leadership summit to foster civic engagement and professional development.,https://about.bankofamerica.com/en/making-an-impact/student-leaders,"March 9, 2026 DEADLINE!",Job/Internship (PAID),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
NYU Tandon's Summer Program for Machine Learning,New York University,"This program introduces students to the computer science and mathematical techniques driving AI and machine learning. Lessons cover video and image recognition, autonomous vehicles, and medical diagnostics, providing fundamental knowledge of technologies that are integrated into daily life.",https://k12stem.engineering.nyu.edu/programs/ml,"May 15, 2026 DEADLINE!",Program (COST),FALSE,,,TRUE,,,,,
Coding for Game Design High School Summer Program,New York University,"During this 2-week in-person program, students learn game design principles and C# scripting within the Unity engine. Participants work collaboratively and independently to create their own 2D games, following development techniques used by professional designers at NYU.",https://steinhardt.nyu.edu/create/high-school-summer-program,"May 31, 2026 DEADLINE!",Program (COST),FALSE,,,TRUE,,,,,
Brown Pre-College Programs,Brown University,Brown Pre-College offers 1- to 6-week residential and online courses designed to simulate the undergraduate experience without the pressure of formal grades. Students can choose from over 300 offerings—ranging from medicine and law to visual arts and creative writing—while engaging in a community that values independent thinking and student voices.,https://precollege.brown.edu/,"May 8, 2026 DEADLINE!",Program (COST),FALSE,TRUE,,,,,,,
The Met High School Internship Program,The Met Museum of Art,"The Met offers paid internships for 10th and 11th grade students living in the tri-state area. Interns explore museum careers in departments like curatorial, social media, design, and education. The program provides professional networking opportunities and hands-on work experience in a world-renowned art institution.",https://www.metmuseum.org/opportunities/internships/summer-internships-for-high-school-students,"Not yet accepting applications for Summer 2026, check back soon. ",Job/Internship (PAID),FALSE,,TRUE,,,,,,
Discovery Guide Youth Volunteer Program,Wildlife Conservation Society,"Ages 14–22 can volunteer as Discovery Guides at NYC’s five WCS zoos and aquarium. During spring or summer sessions, guides lead educational activities for visitors, support conservation campaigns, and assist with education programs while gaining experience in wildlife and environmental stewardship.",https://queenszoo.com/teens/teen-volunteer-program,"Not yet accepting applications for Summer 2026, check back soon. ",Volunteering (UNPAID),FALSE,,,,,TRUE,,,TRUE
Fordham Summer Leaders Academy,Fordham University,"The Fordham Summer Leaders Academy is a residential pre-college program in New York City lasting one to two weeks. It combines innovative academic courses with engaging co-curricular activities, offering both credit and non-credit opportunities in STEM, business, the humanities, and performing arts.",https://www.fordham.edu/summer-session/pre-college-programs/summer-leaders-academy/,ONGOING,Program (COST),FALSE,TRUE,,,,,,FALSE,
Fordham Summer Pre-College Program,Fordham University,"Rising high school seniors can earn 3 to 4 college credits by enrolling in traditional 5-week undergraduate classes alongside Fordham students. Running from June 30 to August 4, 2026, this commuter-only program offers courses both on campus and online.",https://www.fordham.edu/summer-session/pre-college-programs/college-courses-for-high-school-students/summer-session-pre-college-courses/,ONGOING,Program (COST),FALSE,TRUE,,,,,,,
Friendship Circle Teen Volunteer Opportunities,Friendship Circle NYC,"Teen volunteers are paired with children and young adults with special needs to provide companionship and support. Opportunities include home visits and 'Sunday Squad' social outings throughout New York City, fostering inclusive communities through friendship.",https://www.friendshipcirclenyc.org/teen-volunteer-opportunities,ONGOING,Volunteering (UNPAID),FALSE,,,,,,,,TRUE
Ranger Conservation Corps Internship,NYC Department of Parks & Recreation,"This 8-week environmental internship (offered in fall and spring) allows students to work with Urban Park Rangers on restoration projects in NYC’s flagship parks. Participants learn about urban ecology and may participate in field trips like canoeing and camping, earning community service hours for their college applications.",https://www.nycgovparks.org/programs/rangers/conservation-corps,ONGOING,Job/Internship (UNPAID),FALSE,,,,,TRUE,,,TRUE
NYC Health + Hospitals Volunteer Services,NYC Health + Hospitals,"NYC Health + Hospitals offers ongoing volunteer opportunities for students at medical facilities across all five boroughs. Roles range from supporting pediatric patients to assisting the elderly, providing students with meaningful ways to contribute to community health and patient care.",https://www.nychealthandhospitals.org/volunteering/,ONGOING,Volunteering (UNPAID),FALSE,,,,TRUE,,,,TRUE
Writers Week: Summer Writing & Theatre for Teens,Sarah Lawrence College,"This week-long intensive program focuses on creative writing and performance arts. Students collaborate with professional poets and prose writers to develop their craft, explore new genres, and share their work in a supportive, creative environment.",https://www.sarahlawrence.edu/precollege/writers-week/,ONGOING,Program (COST),FALSE,,TRUE,,,,,,
Syracuse Summer College,Syracuse University,"For over 60 years, Syracuse University has offered high schoolers the chance to explore potential majors through 1- to 4-week courses. Students live in residence halls, dine on campus, and participate in social activities while taking college-level credit or non-credit courses.",https://precollege.syr.edu/programs-courses/summer-college-residential/,ONGOING,Program (COST),FALSE,TRUE,,,,,,,
Transportation Alternatives Youth Activist Committee (TAYAC),Transportation Alternatives,"TAYAC is a community of teens advocating for car alternatives in NYC, focusing on public transit, biking, and walking. Open to all NYC youth, the committee holds monthly meetings and social events to help students lead local campaigns and improve the city’s transportation landscape.",https://transalt.org/youth,ONGOING,Extracurricular,FALSE,,,,,TRUE,,,TRUE
Foreign Policy Research Institute (FPRI) Remote Internships,Foreign Policy Research Institute,"The FPRI Internship Program provides high school and college students with hands-on experience in the field of international relations. Interns support FPRI scholars by assisting with research or contributing to communications, events, and operations, with some roles requiring specialized skills in foreign languages or content creation. Participants receive mentorship from experienced professionals to develop critical thinking and collaboration skills, and they have the unique opportunity to publish original research on the program's ""Intern Corner."" The experience is enriched by access to policy seminars and career-focused guest speaker sessions, including a weekly seminar series specifically for summer interns.",https://www.fpri.org/about/internships/,"March 6, 2026 DEADLINE!",Job/Internship (UNPAID),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
EnergyMag Remote Internships,EnergyMag,"The EnergyMag Research Internship is a virtual program for high school students interested in exploring renewable energy companies, technologies, and markets. Open to sophomores, juniors, and seniors, the program helps students develop research, analytical, and professional writing skills. Under the guidance of mentors, participants produce publishable reports and gain experience in networking and communication. The program offers flexible scheduling to accommodate academic plans, including 2- to 8-week half-time summer internships and year-round quarter-time internships lasting 1 to 9 months. Successful participants receive a Letter of Accomplishment.",https://energymag.net/internships/,ONGOING,Job/Internship (UNPAID),TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
American Psychological Association (APA) Remote Internships,American Psychological Association,"The APA Internal Internship Program is a virtual, year-round opportunity for U.S. high school students to explore the impact of psychology across fields such as research, policy, communications, and education. Participants apply psychological theory to practice in a professional setting, attending specialized workshops and connecting with industry experts. The program emphasizes the development of professional networks and the exploration of non-traditional psychology careers through discussions and group projects. These internships accept applications on a rolling basis for spring, summer, fall, and winter sessions.",https://www.apa.org/about/apa-jobs/internships,ONGOING,Job/Internship (UNPAID),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
